series_name,series_code,data_source,field_type,asset_class,sub_asset_class,product_type,data_type,structure_type,market_segment,ticker_source,ticker,valid_from,valid_to,calculation_formula,description,region,currency,term,tenor
AAPL Last Price,AAPL_PX_LAST,RAW,Last Price,Equity,Common Stock,Stock,Price,Simple,Primary Market,Bloomberg,AAPL US Equity,2020-01-01T00:00:00,,,Apple Inc. last traded price,North America,USD,Long-term,10Y
MSFT Last Price,MSFT_PX_LAST,RAW,Last Price,Equity,Common Stock,Stock,Price,Simple,Primary Market,Bloomberg,MSFT US Equity,2020-01-01T00:00:00,,,Microsoft Corporation last traded price,North America,USD,Long-term,10Y
SPX Index,SPX_INDEX,RAW,Last Price,Equity,Bond Index,Index,Price,Simple,Primary Market,Bloomberg,SPX Index,2020-01-01T00:00:00,,,S&P 500 Index,Central America,SEK,Short Medium-term,8M
US 10Y Treasury Yield,US10Y_YIELD,RAW,High Price,Fixed Income,Government Bond,Composite,Yield,Derivative,Exchange Traded,Ramp,USGG10YR Index,2020-01-01T00:00:00,,,US 10-Year Treasury Yield,Europe,GBP,Medium-term,5Y
WTI Crude Oil Price,WTI_PX_LAST,RAW,Last Price,Commodity,Crude Oil,Mutual Fund,Price,Simple,Primary Market,Bloomberg,CL1 Comdty,2020-01-01T00:00:00,,,West Texas Intermediate Crude Oil,Asia Pacific,CAD,Short-term,1Y
Gold Spot Price,GOLD_PX_LAST,RAW,Last Price,Commodity,Gold,Option,Price,Simple,Primary Market,Bloomberg,XAU Curncy,2020-01-01T00:00:00,,,Gold spot price,Oceania,AUD,Near-term,6M
EUR/USD Spot,EURUSD_SPOT,RAW,Last Price,Currency,Forex Spot,Stock,Price,Simple,Primary Market,Bloomberg,EURUSD Curncy,2020-01-01T00:00:00,,,Euro/US Dollar exchange rate,Southeast Asia,MXN,Sustained-term,9M
Tech Sector Composite,TECH_COMPOSITE,DERIVED,Last Price,Equity,Common Stock,Composite,Price,Derivative,Secondary Market,Bloomberg,TECH_COMP,2020-01-01T00:00:00,,AAPL_PX_LAST * 0.3 + MSFT_PX_LAST * 0.3 + GOOGL_PX_LAST * 0.4,Technology sector composite index,North America,USD,Long-term,10Y
GOOGL Last Price,GOOGL_PX_LAST,RAW,Last Price,Equity,Common Stock,Stock,Price,Simple,Primary Market,Bloomberg,GOOGL US Equity,2020-01-01T00:00:00,,,Alphabet Inc. last traded price,North America,USD,Long-term,10Y
TSLA Last Price,TSLA_PX_LAST,RAW,Last Price,Equity,Common Stock,Stock,Price,Simple,Primary Market,Bloomberg,TSLA US Equity,2020-01-01T00:00:00,,,Tesla Inc. last traded price,North America,USD,Long-term,10Y
NVDA Last Price,NVDA_PX_LAST,RAW,Last Price,Equity,Common Stock,Stock,Price,Simple,Primary Market,Bloomberg,NVDA US Equity,2020-01-01T00:00:00,,,NVIDIA Corporation last traded price,North America,USD,Long-term,10Y
AAPL Volume,AAPL_VOLUME,RAW,Volume,Equity,Common Stock,Stock,Volume,Simple,Primary Market,Bloomberg,AAPL US Equity,2020-01-01T00:00:00,,,Apple Inc. trading volume,North America,USD,Long-term,10Y
MSFT Volume,MSFT_VOLUME,RAW,Volume,Equity,Common Stock,Stock,Volume,Simple,Primary Market,Bloomberg,MSFT US Equity,2020-01-01T00:00:00,,,Microsoft Corporation trading volume,North America,USD,Long-term,10Y
SPX Volume,SPX_VOLUME,RAW,Volume,Equity,Bond Index,Index,Volume,Simple,Primary Market,Bloomberg,SPX Index,2020-01-01T00:00:00,,,S&P 500 Index trading volume,Central America,SEK,Short Medium-term,8M
US 30Y Treasury Yield,US30Y_YIELD,RAW,High Price,Fixed Income,Government Bond,Composite,Yield,Derivative,Exchange Traded,Ramp,USGG30YR Index,2020-01-01T00:00:00,,,US 30-Year Treasury Yield,Europe,GBP,Medium-term,5Y
Brent Crude Oil Price,BRENT_PX_LAST,RAW,Last Price,Commodity,Crude Oil,Mutual Fund,Price,Simple,Primary Market,Bloomberg,CO1 Comdty,2020-01-01T00:00:00,,,Brent Crude Oil price,Asia Pacific,CAD,Short-term,1Y
Silver Spot Price,SILVER_PX_LAST,RAW,Last Price,Commodity,Silver,Future,Price,Simple,Primary Market,Bloomberg,XAG Curncy,2020-01-01T00:00:00,,,Silver spot price,Eastern Europe,BRL,Extended-term,3M
GBP/USD Spot,GBPUSD_SPOT,RAW,Last Price,Currency,Forex Spot,Stock,Price,Simple,Primary Market,Bloomberg,GBPUSD Curncy,2020-01-01T00:00:00,,,British Pound/US Dollar exchange rate,Southeast Asia,MXN,Sustained-term,9M
JPY/USD Spot,JPYUSD_SPOT,RAW,Last Price,Currency,Forex Spot,Stock,Price,Simple,Primary Market,Bloomberg,JPYUSD Curncy,2020-01-01T00:00:00,,,Japanese Yen/US Dollar exchange rate,Southeast Asia,MXN,Sustained-term,9M
